top - 20:06:30 up  4:17,  1 user,  load average: 1.45, 1.31, 1.33
Tasks: 463 total,   1 running, 462 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.8 us,  2.2 sy,  0.0 ni, 93.5 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31818.5 total,  17872.5 free,   9008.2 used,   6366.7 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  22810.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    946 systemd+  20   0   91044   7860   6884 S   0.0   0.0   0:00.11 systemd+
    968 root     -51   0       0      0      0 S   0.0   0.0   0:58.33 irq/149+
   1018 root      20   0  320304   9640   7256 S   0.0   0.0   0:00.59 account+
   1019 root      20   0    2720   1812   1664 S   0.0   0.0   0:00.83 acpid
   1021 avahi     20   0    8936   4820   4068 S   0.0   0.0   0:01.09 avahi-d+
   1022 root      20   0   13652   6772   6080 S   0.0   0.0   0:00.05 bluetoo+
   1023 root      20   0   15064   3156   2904 S   0.0   0.0   0:00.02 cron
   1024 message+  20   0   12464   7892   4544 S   0.0   0.0   0:06.43 dbus-da+
   1028 gnome-r+  20   0  365476  16568  14064 S   0.0   0.1   0:00.03 gnome-r+
   1035 polkitd   20   0  385152  11320   7788 S   0.0   0.0   0:02.16 polkitd
   1037 root      20   0  319156   8376   7532 S   0.0   0.0   0:00.05 power-p+
   1044 root      20   0 2810488  40372  25032 S   0.0   0.1   0:05.94 snapd
   1048 root      20   0  315572   7412   6580 S   0.0   0.0   0:00.11 switche+
   1052 root      20   0   18188   9220   7876 S   0.0   0.0   0:00.65 systemd+
   1054 root      20   0  430548  11020   9940 S   0.0   0.0   0:03.33 thermald
   1056 root      20   0  470668  15220  11320 S   0.0   0.0   0:00.57 udisksd
   1063 avahi     20   0    8424   1528   1168 S   0.0   0.0   0:00.00 avahi-d+
   1114 root      20   0  343908  21796  16940 S   0.0   0.1   0:06.01 Network+
   1119 root      20   0   18148  12008  10408 S   0.0   0.0   0:04.11 wpa_sup+
   1123 syslog    20   0  222508   6348   4468 S   0.0   0.0   0:00.59 rsyslogd
   1150 root      20   0  392172  12900  10840 S   0.0   0.0   0:00.17 ModemMa+
   1197 root      20   0  323608  10676   7828 S   0.0   0.0   0:00.93 upowerd
   1375 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
   1376 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM def+
   1377 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
   1539 nvidia-+  20   0    5372   2144   1964 S   0.0   0.0   0:00.00 nvidia-+
   1625 root      20   0   43844  12136   9968 S   0.0   0.0   0:00.05 cupsd
   1632 root      20   0  123732  25068  15048 S   0.0   0.1   0:00.15 unatten+
   1635 root      20   0 2838244  54056  33916 S   0.0   0.2   0:30.46 contain+
   1637 root      20   0  672132  26940  23668 S   0.0   0.1   0:06.38 anydesk
   1653 root      20   0  320464   9620   8524 S   0.0   0.0   0:00.08 gdm3
   1796 rtkit     21   1   22940   3488   3188 S   0.0   0.0   0:00.20 rtkit-d+
   1867 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2059 colord    20   0  325848  15064  10328 S   0.0   0.0   0:00.16 colord
   2385 cups-br+  20   0  268480  20088  17092 S   0.0   0.1   0:00.30 cups-br+
   2386 root      20   0 4343948 109940  60744 S   0.0   0.3   0:40.68 dockerd
   2392 root      20   0    6728   3128   2776 S   0.0   0.0   0:00.01 starter
   2403 kernoops  20   0   12744   2392   1912 S   0.0   0.0   0:00.00 kernelo+
   2412 root      20   0 1195596   9596   7668 S   0.0   0.0   0:00.31 charon
   2424 kernoops  20   0   12744   2416   1932 S   0.0   0.0   0:00.00 kernelo+
   2430 root      20   0    2796   1176   1060 S   0.0   0.0   0:00.00 xl2tpd
   2440 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2455 root      20   0       0      0      0 S   0.0   0.0   0:00.00 iprt-VB+
   2456 root      20   0   86620  19000  16092 S   0.0   0.1   0:01.98 nmbd
   2514 root      20   0   98544  26476  23236 S   0.0   0.1   0:00.19 smbd
   2522 root      20   0   96052   6632   3464 S   0.0   0.0   0:00.01 smbd-no+
   2523 root      20   0   96060   6408   3236 S   0.0   0.0   0:00.01 smbd-cl+
   2957 root      20   0  395636  12064   9768 S   0.0   0.0   0:00.14 gdm-ses+
   2972 faezehg+  20   0   21940  13424   9664 S   0.0   0.0   0:03.07 systemd
   2978 faezehg+  20   0   21400   3648   1848 S   0.0   0.0   0:00.00 (sd-pam)
   2994 faezehg+   9 -11  123800  17392   9852 S   0.0   0.1   0:01.90 pipewire
   2995 faezehg+  20   0  103376   6456   5576 S   0.0   0.0   0:00.02 pipewire
   2996 faezehg+  20   0   32276  16996   7624 S   0.0   0.1   0:00.13 powerli+
   3000 faezehg+   9 -11  573020  33432  25108 S   0.0   0.1   0:01.30 wireplu+
   3001 faezehg+   9 -11  136860  32520   9680 S   0.0   0.1   0:00.91 pipewir+
   3003 faezehg+  20   0  322300  10860   9664 S   0.0   0.0   0:00.23 gnome-k+
   3013 faezehg+  20   0   10972   6572   4668 S   0.0   0.0   0:01.72 dbus-da+
   3060 faezehg+  20   0  691732   7936   7140 S   0.0   0.0   0:00.17 xdg-doc+
   3064 faezehg+  20   0  315076   6644   6120 S   0.0   0.0   0:00.01 xdg-per+
   3071 root      20   0    2704   2060   1940 S   0.0   0.0   0:00.00 fusermo+
   3135 faezehg+  20   0  241352   6372   5856 S   0.0   0.0   0:00.00 gdm-x-s+
   3137 faezehg+  20   0   25.0g 199468 127336 S   0.0   0.6   7:33.05 Xorg
   3200 faezehg+  20   0   39128  12000  10488 S   0.0   0.0   0:00.08 snapd-d+
   3258 faezehg+  20   0 1731496 109488  85820 S   0.0   0.3   0:01.50 snapd-d+
   3260 faezehg+  20   0  303884  17040  15072 S   0.0   0.1   0:00.06 gnome-s+
   3362 faezehg+  20   0  383008   8236   7412 S   0.0   0.0   0:00.02 at-spi-+
   3382 faezehg+  20   0    9688   5272   4620 S   0.0   0.0   0:00.63 dbus-da+
   3389 faezehg+  20   0 1026728  14952  12304 S   0.0   0.0   0:00.53 xdg-des+
   3396 faezehg+  20   0 1316296  60220  43664 S   0.0   0.2   0:08.13 xdg-des+
   3407 faezehg+  20   0  236052   8224   7372 S   0.0   0.0   0:04.28 at-spi2+
   3412 faezehg+  20   0  162652   6908   6220 S   0.0   0.0   0:00.00 gcr-ssh+
   3413 faezehg+  20   0   97188   5956   5496 S   0.0   0.0   0:00.00 gnome-s+
   3420 faezehg+  20   0  319900   8380   7472 S   0.0   0.0   0:00.14 gvfsd
   3441 faezehg+  20   0  526480  19132  16212 S   0.0   0.1   0:00.26 gnome-s+
   3487 faezehg+  20   0 5903176 346328 143764 S   0.0   1.1  10:08.70 gnome-s+
   3524 faezehg+  20   0 1327360 142680 107064 S   0.0   0.4   0:15.48 mutter-+
   3550 faezehg+  20   0  654976  17976  15184 S   0.0   0.1   0:00.06 gnome-s+
   3558 faezehg+  20   0 1446360  89636  73756 S   0.0   0.3   0:00.24 evoluti+
   3561 faezehg+  20   0  230472   6232   5376 S   0.0   0.0   0:00.24 dconf-s+
   3575 faezehg+  20   0 2733800  27768  22516 S   0.0   0.1   0:00.13 gjs
   3599 faezehg+  20   0  394508  12888   7452 S   0.0   0.0   0:23.36 ibus-da+
   3600 faezehg+  20   0  389228   6936   6384 S   0.0   0.0   0:00.03 gsd-a11+
   3602 faezehg+  20   0  421208  25564  18576 S   0.0   0.1   0:00.39 gsd-col+
   3605 faezehg+  20   0  437380  12916  11492 S   0.0   0.0   0:00.06 gsd-dat+
   3607 faezehg+  20   0  465740   9552   7464 S   0.0   0.0   0:01.15 gsd-hou+
   3609 faezehg+  20   0  420096  25080  18104 S   0.0   0.1   0:00.34 gsd-key+
   3612 faezehg+  20   0  749884  31168  23328 S   0.0   0.1   0:00.68 gsd-med+
   3616 faezehg+  20   0  601200  31220  23200 S   0.0   0.1   0:00.72 gsd-pow+
   3620 faezehg+  20   0  329268  11816  10352 S   0.0   0.0   0:00.03 gsd-pri+
   3622 faezehg+  20   0  536724   7136   6352 S   0.0   0.0   0:00.17 gsd-rfk+
   3624 faezehg+  20   0  315200   6692   6112 S   0.0   0.0   0:00.04 gsd-scr+
   3626 faezehg+  20   0  549164  12856  10460 S   0.0   0.0   0:02.24 gsd-sha+
   3630 faezehg+  20   0  552352  24840  21072 S   0.0   0.1   0:00.22 goa-dae+
   3633 faezehg+  20   0  465260   8612   7612 S   0.0   0.0   0:00.03 gsd-sma+
   3640 faezehg+  20   0  399348  10300   9084 S   0.0   0.0   0:00.03 gsd-sou+
   3642 faezehg+  20   0  420720  25520  18100 S   0.0   0.1   0:00.30 gsd-wac+
   3650 faezehg+  20   0  425136  31556  22704 S   0.0   0.1   0:00.70 gsd-xse+
   3671 faezehg+  20   0  577460  57464  45868 S   0.0   0.2   0:05.08 kdeconn+
   3672 faezehg+  20   0  395292  11820   9212 S   0.0   0.0   0:04.24 gvfs-ud+
   3682 faezehg+  20   0  305492   8140   6232 S   0.0   0.0   0:00.02 gsd-dis+
   3692 faezehg+  20   0  837640  43688  35248 S   0.0   0.1   0:00.99 anydesk
   3701 faezehg+  20   0 1072280 114300  90084 S   0.0   0.4   0:00.47 evoluti+
   3750 faezehg+  20   0  394768   9756   8652 S   0.0   0.0   0:00.57 goa-ide+
   3778 faezehg+  20   0  242288   7572   6932 S   0.0   0.0   0:00.00 ibus-me+
   3781 faezehg+  20   0  353600  32392  18712 S   0.0   0.1   0:08.40 ibus-ex+
   3785 faezehg+  20   0  272812  25056  18220 S   0.0   0.1   0:00.28 ibus-x11
   3791 faezehg+  20   0  316200   7564   6880 S   0.0   0.0   0:00.15 ibus-po+
   3806 faezehg+  20   0  421876  15512  13492 S   0.0   0.0   0:00.02 gsd-pri+
   3818 faezehg+  20   0 1371748  25004  21440 S   0.0   0.1   0:00.33 evoluti+
   3846 faezehg+  20   0  395016   8524   7452 S   0.0   0.0   0:00.58 gvfs-af+
   3857 faezehg+  20   0  315436   7016   6372 S   0.0   0.0   0:00.02 gvfs-mt+
   3879 faezehg+  20   0  316404   7432   6668 S   0.0   0.0   0:00.02 gvfs-gp+
   3885 faezehg+  20   0  839356  30448  26400 S   0.0   0.1   0:00.26 evoluti+
   3897 faezehg+  20   0  315412   6980   6344 S   0.0   0.0   0:00.01 gvfs-go+
   3926 faezehg+  20   0 2873032  28020  22556 S   0.0   0.1   0:00.09 gjs
   3977 faezehg+  20   0  242412   7816   7012 S   0.0   0.0   0:05.84 ibus-en+
   3986 faezehg+  39  19  955908  29704  18736 S   0.0   0.1   0:03.74 tracker+
   3998 faezehg+  20   0  615084   9824   8232 S   0.0   0.0   0:00.34 gvfsd-t+
   4247 faezehg+  20   0  242120   7160   6460 S   0.0   0.0   0:00.02 gvfsd-m+
   4251 faezehg+  20   0  545132  45752  37412 S   0.0   0.1   0:00.59 update-+
   4412 faezehg+  20   0   33.1g 456000 314204 S   0.0   1.4   6:25.86 chrome
   4418 faezehg+  20   0   14072   2192   2076 S   0.0   0.0   0:00.00 cat
   4419 faezehg+  20   0   14072   2192   2076 S   0.0   0.0   0:00.02 cat
   4421 faezehg+  20   0   32.0g   4004   3636 S   0.0   0.0   0:00.01 chrome_+
   4423 faezehg+  20   0   32.0g   3524   3188 S   0.0   0.0   0:00.00 chrome_+
   4429 faezehg+  20   0   32.8g 110244  88800 S   0.0   0.3   0:00.04 chrome
   4430 faezehg+  20   0   32.8g 109724  88444 S   0.0   0.3   0:00.04 chrome
